dataflow_id,agency_id,original_name,friendly_name
DSD_FUA_ENV@DF_GHG,OECD.CFE.EDS,Greenhouse gas emissions - Cities and FUAs,ghg_emissions_cities_fua
DSD_FUA_ENV@DF_GREEN_AREA,OECD.CFE.EDS,Green areas - FUAs,green_areas_fua
DSD_FUA_ENV@DF_POLLUTION,OECD.CFE.EDS,Air pollution - Cities and FUAs,air_pollution_cities_fua
DSD_FUA_ENV@DF_UHI,OECD.CFE.EDS,Urban heat island - FUAs,urban_heat_island_fua
DSD_FUA_INNOV@DF_PATENTS,OECD.CFE.EDS,Total and environment-related patents - FUAs,patents_environment_fua
DSD_FUA_LAB@DF_LABOUR,OECD.CFE.EDS,Labour market - FUAs,labour_market_fua
DSD_FUA_SOC@DF_VEH,OECD.CFE.EDS,Private road vehicles - Cities and FUAs,private_road_vehicles_cities_fua
DSD_FUA_TERR@DF_DENSITY,OECD.CFE.EDS,Population and built-up density - Cities and FUAs,population_buildup_density_cities_fua
DSD_FUA_TERR@DF_LAU,OECD.CFE.EDS,Local administrative units - Cities and FUAs,local_admin_units_cities_fua
DSD_FUA_TRAN@DF_PT_ACCESS,OECD.CFE.EDS,Access to public transport - FUAs,public_transport_access_fua
DSD_FUA_TRAN@DF_SERVICE_ACCESS,OECD.CFE.EDS,Access to services - FUAs,services_access_fua
DSD_FUA_TRAN@DF_TRAN_COMMUT,OECD.CFE.EDS,Main mode of transport to work - FUAs,transport_to_work_fua
DSD_FUA_TRAN@DF_TRAN_PERF,OECD.CFE.EDS,Transport performance - FUAs,fua_transport_performance
DSD_LA_AIR_POLLUTION_DDOWN@DF_AIR_POLLUTION_DDOWN,OECD.CFE.EDS,Exposure to air pollution - Local areas,local_air_pollution_exposure
DSD_LA_AIR_TEMP_DDOWN@DF_AIR_TEMP_DDOWN,OECD.CFE.EDS,Air temperature trends - Local areas,local_air_temperature_trends
DSD_LA_COASTAL_FLOOD_DDOWN@DF_COASTAL_FLOOD_DDOWN,OECD.CFE.EDS,Coastal flooding - Local areas,local_coastal_flooding
DSD_LA_DEGREE_DAYS_DDOWN@DF_DEGREE_DAYS_DDOWN,OECD.CFE.EDS,Cooling and heating degree days - Local areas,local_cooling_heating_degree_days
DSD_LA_DEGURBA_DDOWN@DF_DEGURBA_DDOWN,OECD.CFE.EDS,Degree of urbanisation - Local areas,local_degree_of_urbanisation
DSD_LA_DEMO_DDOWN@DF_POP_DENSITY_DDOWN,OECD.CFE.EDS,Population density - Local areas,local_population_density
DSD_LA_DEMO_POP_AGE_DDOWN@DF_POP_AGE_DDOWN,OECD.CFE.EDS,Population by age and sex - Local areas,local_population_age_sex
DSD_LA_ENV_GREEN_AREA_DDOWN@DF_GREEN_AREA_DDOWN,OECD.CFE.EDS,Green areas - Local areas,local_green_areas
DSD_LA_ENV_LAND_COVER_DDOWN@DF_LAND_COVER_DDOWN,OECD.CFE.EDS,Land Cover - Local areas,local_land_cover
DSD_LA_EXTREME_TEMP_DDOWN@DF_EXTREME_TEMP_DDOWN,OECD.CFE.EDS,Extreme temperatures - Local areas,local_extreme_temperatures
DSD_LA_FIRE_DDOWN@DF_FIRE_DDOWN,OECD.CFE.EDS,Share of burned areas - Local areas,local_burned_areas_share
DSD_LA_GHSL_BUILT_DDOWN@DF_BUILT_DDOWN,OECD.CFE.EDS,Land cover built up area - Local areas,local_built_up_land_cover
DSD_LA_HOUSING_DDOWN@DF_HEATING_FUEL_DDOWN,OECD.CFE.EDS,Energy used for heating in dwellings - Local areas,local_dwelling_heating_energy
DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN,OECD.CFE.EDS,Employment by age group and sex - Local Areas,local_employment_age_sex
DSD_LA_PRECIPITATION_DDOWN@DF_PRECIPITATION_DDOWN,OECD.CFE.EDS,Precipitation - Local areas,local_precipitation
DSD_LA_PROT_AREAS_DDOWN@DF_PROT_AREAS_DDOWN,OECD.CFE.EDS,Protected areas - Local areas,local_protected_areas
DSD_LA_RIVER_FLOOD_DDOWN@DF_RIVER_FLOOD_DDOWN,OECD.CFE.EDS,River flooding - Local areas,local_river_flooding
DSD_LA_SOIL_MOISTURE_DDOWN@DF_SOIL_MOISTURE_DDOWN,OECD.CFE.EDS,Soil moisture - Local areas,local_soil_moisture
DSD_LA_TRANSPORT_DDOWN@DF_COMMUTING_MODE_DDOWN,OECD.CFE.EDS,Main mode of transport to work - Local Areas,local_work_transport_mode
DSD_REG_CLIM@DF_AIR_TEMP,OECD.CFE.EDS,"Air temperature, hot days, tropical nights and icing days - Regions",regional_air_temperature
DSD_REG_CLIM@DF_CLIM,OECD.CFE.EDS,Climate hazard statistics - Regions (for 'Developer API'),regional_climate_hazards
DSD_REG_CLIM@DF_DEGREE_DAYS,OECD.CFE.EDS,Cooling and heating degree days - Regions,regional_degree_days
DSD_REG_CLIM@DF_DROUGHT,OECD.CFE.EDS,Drought - Regions,regional_drought
DSD_REG_CLIM@DF_FIRES,OECD.CFE.EDS,Wildfires - Regions,regional_wildfires
DSD_REG_CLIM@DF_FLOOD,OECD.CFE.EDS,River and coastal flooding - Regions,regional_flooding
DSD_REG_CLIM@DF_GHG,OECD.CFE.EDS,Greenhouse gas emissions - Regions,regional_ghg_emissions
DSD_REG_CLIM@DF_HEAT_STRESS,OECD.CFE.EDS,Heat stress - Regions,regional_heat_stress
DSD_REG_CLIM@DF_LAND_TEMP,OECD.CFE.EDS,Land surface temperature - Regions,regional_land_temperature
DSD_REG_CLIM@DF_PRECIPITATION,OECD.CFE.EDS,Precipitation - Regions,regional_precipitation
DSD_REG_DEMO@DF_DEATH_5Y,OECD.CFE.EDS,Deaths by by 5-year age groups - Regions,regional_deaths_by_age
DSD_REG_DEMO@DF_DEMO,OECD.CFE.EDS,Demography statistics - Regions (for 'Developer API'),regional_demography
DSD_REG_DEMO@DF_DENSITY,OECD.CFE.EDS,Population density - Regions,regional_population_density
DSD_REG_DEMO@DF_DEPEND,OECD.CFE.EDS,Dependency rates - Regions,regional_dependency_rates
DSD_REG_DEMO@DF_FERTILITY,OECD.CFE.EDS,Fertility - Regions,regional_fertility
DSD_REG_DEMO@DF_LIFE_EXP,OECD.CFE.EDS,Life expectancy - Regions,regional_life_expectancy
DSD_REG_DEMO@DF_MIGR_FLOW,OECD.CFE.EDS,International migration flows - Regions,regional_migration_flows
DSD_REG_DEMO@DF_MOBILITY,OECD.CFE.EDS,Population mobility within the country - Regions,regional_internal_mobility
DSD_REG_DEMO@DF_POP_5Y,OECD.CFE.EDS,Population by 5-year age groups - Regions,regional_population_by_age
DSD_REG_DEMO@DF_POP_BROAD,OECD.CFE.EDS,Population by broad age groups - Regions,regional_population_age_groups
DSD_REG_DEMO@DF_REGION_TYPE_METRO,OECD.CFE.EDS,Demographic indicators by access to city typology,metro_demographics
DSD_REG_DEMO@DF_REGION_TYPE_RURB,OECD.CFE.EDS,Demographic indicators by urban-rural typology,urban_rural_demographics
DSD_REG_ECO@DF_ECO,OECD.CFE.EDS,Economic statistics - Regions (for 'Developer API'),regional_economic
DSD_REG_ECO@DF_EMP,OECD.CFE.EDS,Employment by main economic activity - Regions,regional_employment_by_activity
DSD_REG_ECO@DF_GDP,OECD.CFE.EDS,Gross domestic product - Regions,regional_gdp
DSD_REG_ECO@DF_GVA,OECD.CFE.EDS,Gross value added by main economic activity - Regions,regional_gva_by_activity
DSD_REG_ECO@DF_INC,OECD.CFE.EDS,Income - Regions,regional_income
DSD_REG_ECO@DF_LPR,OECD.CFE.EDS,Labour productivity by main economic activity - Regions,regional_labour_productivity
DSD_REG_ECO@DF_TRAD,OECD.CFE.EDS,International trade - Regions,regional_trade
DSD_REG_ECO@DF_TYPE_METRO,OECD.CFE.EDS,Economic indicators by access to city typology,metro_economic
DSD_REG_ECO@DF_TYPE_RURB,OECD.CFE.EDS,Economic indicators by urban-rural territorial typology,urban_rural_economic_indicators
DSD_REG_ECO_ROPI@DF_ECO_ROPI,OECD.CFE.EDS,Economic statistics ROPI-adjusted for inflation - Regions (for 'Developer API'),regional_economic_ropi_adjusted
DSD_REG_ECO_ROPI@DF_GDP_ROPI,OECD.CFE.EDS,Real gross domestic product (ROPI-adjusted for inflation) - Regions,regional_gdp_ropi_adjusted
DSD_REG_ECO_ROPI@DF_GVA_ROPI,OECD.CFE.EDS,Real gross value added by main economic activity (ROPI-adjusted for inflation) - Regions,regional_gva_by_activity_ropi
DSD_REG_ECO_ROPI@DF_LPR_ROPI,OECD.CFE.EDS,Real labour productivity by main economic activity (ROPI-adjusted for inflation) - Regions,regional_labour_productivity_ropi
DSD_REG_EDU@DF_ATTAIN,OECD.CFE.EDS,Educational attainment - Regions,regional_educational_attainment
DSD_REG_EDU@DF_EDU,OECD.CFE.EDS,Education statistics - Regions (for 'Developer API'),regional_education_api
DSD_REG_EDU@DF_EMP,OECD.CFE.EDS,Employment by level of education - Regions,employment_by_education_level
DSD_REG_EDU@DF_ENROL,OECD.CFE.EDS,Students enrolment - Regions,regional_student_enrolment
DSD_REG_EDU@DF_EXCLU,OECD.CFE.EDS,Youth exclusion from education - Regions,youth_education_exclusion
DSD_REG_EDU@DF_TRAINING,OECD.CFE.EDS,Adult training - Regions,adult_training_regions
DSD_REG_ENE@DF_ENE,OECD.CFE.EDS,Energy statistics - Regions  (for 'Developer API'),energy_regions
DSD_REG_ENE@DF_ENE_CONSUMPTION,OECD.CFE.EDS,Final energy consumption - Regions,energy_consumption_regions
DSD_REG_ENE@DF_PROD_ELEC,OECD.CFE.EDS,Electricity generation - Regions,electricity_generation_regions
DSD_REG_ENV@DF_AIR_POLLUT,OECD.CFE.EDS,Exposure to air pollution - Regions,air_pollution_exposure_regions
DSD_REG_ENV@DF_ENV,OECD.CFE.EDS,Environment statistics - Regions,environment_regions
DSD_REG_ENV@DF_GHG,OECD.CFE.EDS,Greenhouse gas emissions - Regions,ghg_emissions_regions
DSD_REG_ENV@DF_WASTE,OECD.CFE.EDS,Waste treatment - Regions,waste_treatment_regions
DSD_REG_HEALTH@DF_CARE,OECD.CFE.EDS,Health care - Regions,health_care_regions
DSD_REG_HEALTH@DF_HEALTH,OECD.CFE.EDS,Health statistics - Regions,health_regions
DSD_REG_HEALTH@DF_RISK,OECD.CFE.EDS,Health risks - Regions,regional_health_risks
DSD_REG_HEALTH@DF_STATUS,OECD.CFE.EDS,Health status - Regions,regional_health_status
DSD_REG_LAB@DF_LEVELS,OECD.CFE.EDS,Labour indicators levels - Regions,regional_labour_levels
DSD_REG_LAB@DF_PART_TIME,OECD.CFE.EDS,Part-time employment - Regions,regional_part_time_employment
DSD_REG_LAB@DF_RATES,OECD.CFE.EDS,Labour indicators rates - Regions,regional_labour_rates
DSD_REG_LAB@DF_TEMPORARY,OECD.CFE.EDS,Temporary employees - Regions,regional_temporary_employment
DSD_REG_LAB@DF_TYPE_METRO,OECD.CFE.EDS,Labour indicators by access to city typology,labour_by_city_access
DSD_REG_LAB@DF_TYPE_RURB,OECD.CFE.EDS,Labour indicators by urban-rural territorial typology,labour_by_urban_rural
DSD_REG_LABOUR@DF_LAB,OECD.CFE.EDS,Labour statistics - Regions (for 'Developer API'),regional_labour_api
DSD_REG_MIGRANT@DF_MIGR_STOCK,OECD.CFE.EDS,Foreign-born population - Regions,regional_foreign_born_population
DSD_REG_MW@DF_WASTE,OECD.CFE.EDS,Waste treatment - Regions,regional_waste_treatment
DSD_REG_PAT@DF_PAT,OECD.CFE.EDS,Patent statistics - Regions,regional_patents
DSD_REG_SOC@DF_BROADBAND,OECD.CFE.EDS,Internet broadband access - Regions,regional_broadband_access
DSD_REG_SOC@DF_HOUSING,OECD.CFE.EDS,Housing - Regions,regional_housing
DSD_REG_SOC@DF_INCOME_INEQ,OECD.CFE.EDS,Income inequality - Regions,regional_income_inequality
DSD_REG_SOC@DF_SAFETY,OECD.CFE.EDS,Safety - Regions,regional_safety
DSD_REG_SOC@DF_SOC,OECD.CFE.EDS,Social statistics - Regions,regional_social
DSD_REG_SOC@DF_VEH,OECD.CFE.EDS,Private road vehicles - Regions,regional_road_vehicles
DSD_REG_SOC@DF_VOTER,OECD.CFE.EDS,Civic engagement - Regions,regional_civic_engagement
DSD_DASHBOARD@COFOG,OECD.CFE.RDG,Subnational government expenditure by functional classification (COFOG),subnational_gov_expenditure_cofog
DSD_DASHBOARD@COFOG_INV,OECD.CFE.RDG,Subnational government investment by functional classification (COFOG),subnational_investment_by_function
DSD_DASHBOARD@DEBT,OECD.CFE.RDG,Subnational government budget balance and debt,subnational_budget_balance_debt
DSD_DASHBOARD@DEMO,OECD.CFE.RDG,Subnational government structure and finance: socio-economic indicators,subnational_socio_economic
DSD_DASHBOARD@EXPEND,OECD.CFE.RDG,Subnational government expenditure,subnational_expenditure
DSD_DASHBOARD@EXPEND_ECON,OECD.CFE.RDG,Subnational government expenditure by economic classification,subnational_expenditure_by_economic_class
DSD_DASHBOARD@INV,OECD.CFE.RDG,Subnational government investment,subnational_investment
DSD_DASHBOARD@MUNI_CHANGE,OECD.CFE.RDG,Municipal level government by population size - change,municipal_population_change
DSD_DASHBOARD@PROP_TAX_REV,OECD.CFE.RDG,Subnational government recurrent property tax revenue,subnational_property_tax_revenue
DSD_DASHBOARD@REV,OECD.CFE.RDG,Subnational government revenue,subnational_revenue
DSD_DASHBOARD@REVENUE_CAT,OECD.CFE.RDG,Subnational government revenue by category,subnational_revenue_by_category
DSD_DASHBOARD@SNG_NBR,OECD.CFE.RDG,Number of subnational governments,subnational_gov_count
DSD_DASHBOARD@SNG_STRUCT,OECD.CFE.RDG,Municipal level government by population size,municipal_gov_by_population
DSD_DASHBOARD@TAX_REV,OECD.CFE.RDG,Subnational government tax revenue,subnational_tax_revenue
DSD_SNGF_AGG@DF_MUNIFI,OECD.CFE.RDG,Aggregated and disaggregated municipal government finance,municipal_finance
DSD_SNGF_AGG@DF_REGOFI,OECD.CFE.RDG,Aggregated regional government finance,regional_finance_aggregated
DSD_SNGF_CSF@DF_SGCF,OECD.CFE.RDG,Subnational government climate finance,subnational_climate_finance
DSD_SNGF_DISAGG@DF_REGOFI,OECD.CFE.RDG,Disaggregated regional government finance,regional_finance_disaggregated
DSD_SNG_WOFI@DF_COFOG,OECD.CFE.RDG,SNG-WOFI: Subnational government functional expenditure (COFOG),subnational_functional_expenditure
DSD_SNG_WOFI@DF_FINANCE,OECD.CFE.RDG,"SNG-WOFI: Subnational government expenditure, investment, revenue and debt",subnational_finance_debt
DSD_SNG_WOFI@DF_SNG_STRUCT,OECD.CFE.RDG,SNG-WOFI: Number of subnational governments and municipality size,subnational_gov_structure
DSD_SNG_WOFI@DF_SOCIO,OECD.CFE.RDG,SNG-WOFI: Basic socio-economic indicators,subnational_socio_economic
DSD_SUBEMP@DF_SUBEMP,OECD.CFE.RDG,Aggregated and disaggregated subnational public employment,subnational_public_employment
DSD_SMEE_FINANCING@DF_SMEE_SCOREBOARD,OECD.CFE.SMEE,Financing SMEs and Entrepreneurs: An OECD Scoreboard,sme_financing_scoreboard
DSD_TOURISM_DOM@DF_DOMESTIC,OECD.CFE.TOU,Domestic tourism,domestic_tourism
DSD_TOURISM_ENT_EMP@DF_ENT_EMP,OECD.CFE.TOU,Enterprises and employment in tourism,tourism_enterprises_employment
DSD_TOURISM_EXP@DF_EXPENDITURE,OECD.CFE.TOU,Internal tourism consumption,internal_tourism_consumption
DSD_TOURISM_INTER@DF_INBOUND,OECD.CFE.TOU,Inbound tourism,inbound_tourism
DSD_TOURISM_INTER@DF_OUTBOUND,OECD.CFE.TOU,Outbound tourism,outbound_tourism
DSD_TOURISM_KEY@DF_KEY_IND_PC,OECD.CFE.TOU,Key tourism economic indicators,tourism_economic_indicators
DSD_TOURISM_RECEIPTS@DF_RECEIPTS,OECD.CFE.TOU,Receipts and expenditure,tourism_receipts_expenditure
DSD_QDD_ITTI@DF_QDD_ITTI,OECD.CTP.TAV,Inventory of Tax Technology Initiatives,tax_technology_initiatives
DSD_CBCR@DF_CBCRI,OECD.CTP.TPS,Country-by-country reporting (CbCR) - Aggregate totals by jurisdiction - Corporate tax statistics,cbcr_aggregate_by_jurisdiction
DSD_CBCR@DF_CBCRII,OECD.CTP.TPS,Country-by-country reporting (CbCR) - Interquartile mean values by jurisdiction - Corporate tax statistics,cbcr_interquartile_mean_by_jurisdiction
DSD_CBCR@DF_CBCRIII,OECD.CTP.TPS,Country-by-country reporting (CbCR) - Aggregate totals by the effective tax rate of the MNE group and by tax jurisdiction  - Corporate tax statistics,cbcr_aggregate_by_mne_group_tax_rate
DSD_CBCR@DF_CBCRIV,OECD.CTP.TPS,Country-by-country reporting (CbCR) - Aggregate totals by the effective tax rate of the MNE sub-group and by tax jurisdiction - Corporate tax statistics,cbcr_aggregate_by_mne_subgroup_tax_rate
DSD_CBCR@DF_CBCRV,OECD.CTP.TPS,Country-by-country reporting (CbCR) - Distribution points of MNE group size - Corporate tax statistics,cbcr_mne_group_size_distribution
DSD_ECR@DF_CPS,OECD.CTP.TPS,Carbon pricing score,carbon_pricing_score
DSD_ECR@DF_SEP,OECD.CTP.TPS,Shares of CO2 emissions from energy priced,co2_emissions_priced_share
DSD_ETR@DF_ETR_BASELINE,OECD.CTP.TPS,Effective tax rates - Corporate tax statistics,corporate_effective_tax_rates
DSD_ETR@DF_ETR_IBRD,OECD.CTP.TPS,Effective tax rates for income based tax incentives - Corporate tax statistics,income_based_incentive_tax_rates
DSD_ETR@DF_ETR_XBRD,OECD.CTP.TPS,Effective tax rates for expenditure based tax incentives - Corporate tax statistics,effective_tax_rates_expenditure
DSD_NECR@DF_NECRS,OECD.CTP.TPS,Net effective carbon rates,net_effective_carbon_rates
DSD_NECR@DF_NECRSHARES,OECD.CTP.TPS,Shares of emissions priced,emissions_priced_shares
DSD_NECR@DF_NECRSREVFOR,OECD.CTP.TPS,Revenue forgone and net effective carbon rates,revenue_forgone_carbon_rates
DSD_NEER@DF_NEERS,OECD.CTP.TPS,Net effective energy rates,net_effective_energy_rates
DSD_NEER@DF_REVPOT,OECD.CTP.TPS,Net energy tax revenues and reform potential,net_energy_tax_revenue_potential
DSD_QDD_CBCREQ@DF_QDD_CBCREQ,OECD.CTP.TPS,Country-by-country reporting (CbCR) requirements - Corporate tax statistics,country_by_country_reporting_requirements
DSD_QDD_CFC@DF_QDD_CFC,OECD.CTP.TPS,Controlled foreign company rules - Corporate tax statistics,controlled_foreign_company_rules
DSD_QDD_ILR@DF_QDD_ILR,OECD.CTP.TPS,Interest limitation rules - Corporate tax statistics,interest_limitation_rules
DSD_QDD_IPR@DF_QDD_IPR,OECD.CTP.TPS,Intellectual properties regimes - Corporate tax statistics,intellectual_property_regimes
DSD_REF_AFRICA@DF_REFSERIES_AFRICA,OECD.CTP.TPS,A reference series for Revenue Statistics in Africa,revenue_reference_africa
DSD_REF_ASAP@DF_REFSERIES_ASAP,OECD.CTP.TPS,A reference series for Revenue Statistics in Asia and the Pacific,revenue_reference_asia_pacific
DSD_REF_GLOBAL@DF_REFSERIES_GLOBAL,OECD.CTP.TPS,A reference series for countries in the global database,revenue_reference_global
DSD_REF_LAC@DF_REFSERIES_LAC,OECD.CTP.TPS,A reference series for Revenue Statistics in Latin America and the Caribbean,revenue_reference_latin_america
DSD_REF_OECD@DF_REFSERIES_OECD,OECD.CTP.TPS,A reference series for Revenue Statistics in OECD member countries,revenue_reference_oecd
DSD_REV_AFRICA@DF_REVBFA,OECD.CTP.TPS,Burkina Faso - tax and non-tax revenues,burkina_faso_tax_revenues
DSD_REV_AFRICA@DF_REVBWA,OECD.CTP.TPS,Botswana - tax and non-tax revenues,botswana_tax_revenues
DSD_REV_AFRICA@DF_REVCIV,OECD.CTP.TPS,Côte d'Ivoire - tax and non-tax revenues,cote_divoire_tax_revenues
DSD_REV_AFRICA@DF_REVCMR,OECD.CTP.TPS,Cameroon - tax and non-tax revenues,cameroon_tax_revenues
DSD_REV_AFRICA@DF_REVCOD,OECD.CTP.TPS,Democratic Republic of the Congo - tax and non-tax revenues,congo_drc_tax_revenues
DSD_REV_AFRICA@DF_REVCOG,OECD.CTP.TPS,Republic of the Congo - tax and non-tax revenues,congo_tax_revenues
DSD_REV_AFRICA@DF_REVCPV,OECD.CTP.TPS,Cabo Verde - tax and non-tax revenues,cabo_verde_tax_revenues
DSD_REV_AFRICA@DF_REVEGY,OECD.CTP.TPS,Egypt - tax and non-tax revenues,egypt_tax_revenues
DSD_REV_AFRICA@DF_REVGAB,OECD.CTP.TPS,Gabon - tax and non-tax revenues,gabon_tax_revenues
DSD_REV_AFRICA@DF_REVGHA,OECD.CTP.TPS,Ghana - tax and non-tax revenues,ghana_tax_revenues
DSD_REV_AFRICA@DF_REVGIN,OECD.CTP.TPS,Guinea - tax and non-tax revenues,guinea_tax_revenues
DSD_REV_AFRICA@DF_REVGNQ,OECD.CTP.TPS,Equatorial Guinea - tax and non-tax revenues,equatorial_guinea_tax_revenues
DSD_REV_AFRICA@DF_REVKEN,OECD.CTP.TPS,Kenya - tax and non-tax revenues,kenya_tax_revenues
DSD_REV_AFRICA@DF_REVLSO,OECD.CTP.TPS,Lesotho - tax and non-tax revenues,lesotho_tax_revenues
DSD_REV_AFRICA@DF_REVMAR,OECD.CTP.TPS,Morocco - tax and non-tax revenues,morocco_tax_revenues
DSD_REV_AFRICA@DF_REVMDG,OECD.CTP.TPS,Madagascar - tax and non-tax revenues,madagascar_tax_revenue
DSD_REV_AFRICA@DF_REVMLI,OECD.CTP.TPS,Mali - tax and non-tax revenues,mali_tax_revenue
DSD_REV_AFRICA@DF_REVMOZ,OECD.CTP.TPS,Mozambique - tax and non-tax revenues,mozambique_tax_revenue
DSD_REV_AFRICA@DF_REVMRT,OECD.CTP.TPS,Mauritania - tax and non-tax revenues,mauritania_tax_revenue
DSD_REV_AFRICA@DF_REVMUS,OECD.CTP.TPS,Mauritius - tax and non-tax revenues,mauritius_tax_revenue
DSD_REV_AFRICA@DF_REVMWI,OECD.CTP.TPS,Malawi - tax and non-tax revenues,malawi_tax_revenue
DSD_REV_AFRICA@DF_REVNAM,OECD.CTP.TPS,Namibia - tax and non-tax revenues,namibia_tax_revenue
DSD_REV_AFRICA@DF_REVNER,OECD.CTP.TPS,Niger - tax and non-tax revenues,niger_tax_revenue
DSD_REV_AFRICA@DF_REVNGA,OECD.CTP.TPS,Nigeria - tax and non-tax revenues,nigeria_tax_revenue
DSD_REV_AFRICA@DF_REVRWA,OECD.CTP.TPS,Rwanda - tax and non-tax revenues,rwanda_tax_revenue
DSD_REV_AFRICA@DF_REVSEN,OECD.CTP.TPS,Senegal - tax and non-tax revenues,senegal_tax_revenues
DSD_REV_AFRICA@DF_REVSLE,OECD.CTP.TPS,Sierra Leone - tax and non-tax revenues,sierra_leone_tax_revenues
DSD_REV_AFRICA@DF_REVSOM,OECD.CTP.TPS,Somalia - tax and non-tax revenues,somalia_tax_revenues
DSD_REV_AFRICA@DF_REVSWZ,OECD.CTP.TPS,Eswatini - tax and non-tax revenues,eswatini_tax_revenues
DSD_REV_AFRICA@DF_REVSYC,OECD.CTP.TPS,Seychelles - tax and non-tax revenues,seychelles_tax_revenues
DSD_REV_AFRICA@DF_REVTCD,OECD.CTP.TPS,Chad - tax and non-tax revenues,chad_tax_revenues
DSD_REV_AFRICA@DF_REVTGO,OECD.CTP.TPS,Togo - tax and non-tax revenues,togo_tax_revenues
DSD_REV_AFRICA@DF_REVTUN,OECD.CTP.TPS,Tunisia - tax and non-tax revenues,tunisia_tax_revenues
DSD_REV_AFRICA@DF_REVUGA,OECD.CTP.TPS,Uganda - tax and non-tax revenues,uganda_tax_revenues
DSD_REV_AFRICA@DF_REVZAF,OECD.CTP.TPS,South Africa - tax and non-tax revenues,south_africa_tax_revenues
DSD_REV_AFRICA@DF_REVZMB,OECD.CTP.TPS,Zambia - tax and non-tax revenues,zambia_tax_non_tax_revenues
DSD_REV_AFRICA@DF_REV_ALL,OECD.CTP.TPS,"Tax evenues, all AFRICA countries",africa_tax_revenues_all_countries
DSD_REV_ASAP@DF_REVARM,OECD.CTP.TPS,Armenia - tax revenues,armenia_tax_revenues
DSD_REV_ASAP@DF_REVAUS,OECD.CTP.TPS,Australia - tax revenues in Revenue Statistics in Asia and the Pacific,australia_tax_revenues_asia_pacific
DSD_REV_ASAP@DF_REVAZE,OECD.CTP.TPS,Azerbaijan - tax revenues,azerbaijan_tax_revenues
DSD_REV_ASAP@DF_REVBGD,OECD.CTP.TPS,Bangladesh - tax revenues,bangladesh_tax_revenues
DSD_REV_ASAP@DF_REVBTN,OECD.CTP.TPS,Bhutan - tax and non-tax revenues,bhutan_tax_non_tax_revenues
DSD_REV_ASAP@DF_REVCHN,OECD.CTP.TPS,China - tax revenues,china_tax_revenues
DSD_REV_ASAP@DF_REVCOK,OECD.CTP.TPS,Cook Islands - tax and non-tax revenues,cook_islands_tax_non_tax_revenues
DSD_REV_ASAP@DF_REVFJI,OECD.CTP.TPS,Fiji - tax and non-tax revenues,fiji_tax_non_tax_revenues
DSD_REV_ASAP@DF_REVGEO,OECD.CTP.TPS,Georgia - tax revenues,georgia_tax_revenues
DSD_REV_ASAP@DF_REVHKG,OECD.CTP.TPS,"Hong Kong, China - tax and non-tax revenues",hong_kong_revenues
DSD_REV_ASAP@DF_REVIDN,OECD.CTP.TPS,Indonesia - tax revenues,indonesia_tax_revenues
DSD_REV_ASAP@DF_REVJPN,OECD.CTP.TPS,Japan - tax revenues in Revenue Statistics in Asia and the Pacific,japan_tax_revenues_asia_pacific
